unit,nace_r2,indic_se,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
PC,B-N,MMW_MEAN_ME_PP,AL	: 	: 	55.5 	56.2 	54.2 	50.2 	49.8 	46.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,AT	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,BE	: 	: 	: 	43.1 	43.1 	43.0 	43.6 	44.0 	45.5 	46.1 	44.3 	44.7 	45.8 	47.3 	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,BG	: 	: 	43.2 	43.3 	43.2 	43.1 	41.0 	40.5 	39.2 	37.9 	35.5 	36.3 	39.1 	40.6 	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,CY	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,CZ	: 	: 	39.6 	38.2 	37.1 	35.5 	34.4 	32.8 	32.6 	31.6 	32.4 	33.3 	34.3 	35.0 	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,DE	41.1 	40.8 	41.3 	41.0 	42.2 	41.2 	42.1 	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,DK	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,EE	: 	: 	38.5 	40.1 	41.5 	38.3 	37.2 	35.9 	34.1 	33.0 	33.5 	35.5 	36.4 	34.8 	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	56.4 	43.4 	46.6 	48.9 	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,ES	: 	: 	47.8 	39.7 	38.7 	36.0 	35.6 	36.0 	36.1 	36.4 	36.7 	37.8 	37.6 	37.6 	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,FI	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,FR	: 	: 	: 	46.5 	46.7 	46.8 	46.1 	46.4 	46.9 	47.1 	46.2 	46.5 	47.0 	46.5 	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,HR	: 	: 	48.1 	45.9 	42.3 	41.9 	39.4 	38.8 	37.5 	37.0 	37.5 	38.0 	37.9 	37.6 	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,HU	: 	: 	42.4 	43.7 	44.5 	43.4 	43.2 	43.3 	43.3 	42.5 	38.6 	38.0 	38.3 	38.8 	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,IE	: 	: 	: 	46.1 	45.6 	45.8 	44.0 	44.6 	44.6 	45.2 	45.8 	45.7 	46.2 	46.3 	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,IS	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,IT	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,LT	: 	: 	46.5 	46.5 	48.2 	50.6 	47.0 	46.4 	48.3 	42.0 	42.6 	43.6 	42.4 	40.2 	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,LU	: 	50.0 	50.0 	49.4 	49.3 	48.9 	49.5 	50.3 	50.4 	49.5 	49.3 	48.6 	47.8 	: 	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,LV	: 	: 	41.6 	44.7 	43.0 	45.3 	46.4 	44.1 	42.0 	43.4 	44.8 	41.9 	41.3 	37.4 	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,ME	: 	41.9 	45.2 	39.4 	39.6 	39.8 	39.9 	39.5 	39.0 	: 	: 	: 	: 	: 	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,MT	46.2 	43.3 	45.7 	43.7 	45.1 	47.8 	48.0 	46.9 	47.5 	46.7 	47.8 	47.4 	47.2 	50.6 	48.8 	52.4 	50.6 
PC,B-N,MMW_MEAN_ME_PP,NL	: 	: 	: 	43.7 	43.7 	43.3 	42.7 	43.2 	43.3 	43.3 	43.6 	44.2 	43.9 	44.2 	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,NO	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,PL	: 	: 	46.1 	46.0 	47.1 	46.3 	45.5 	45.3 	44.6 	43.5 	41.7 	42.0 	42.2 	39.1 	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,PT	: 	50.8 	49.8 	49.0 	47.7 	45.4 	43.7 	44.1 	42.7 	42.9 	42.2 	42.4 	42.8 	44.2 	: 	: 	: 
PC,B-N,MMW_MEAN_ME_PP,RO	: 	: 	47.4 	47.9 	47.0 	43.6 	40.5 	38.5 	36.3 	34.1 	35.4 	32.4 	34.9 	31.3 	: 	: 	: 
