currency,geo\time	2021S1 	2020S2 	2020S1 	2019S2 	2019S1 	2018S2 	2018S1 	2017S2 	2017S1 	2016S2 	2016S1 	2015S2 	2015S1 	2014S2 	2014S1 	2013S2 	2013S1 	2012S2 	2012S1 	2011S2 	2011S1 	2010S2 	2010S1 	2009S2 	2009S1 	2008S2 	2008S1 	2007S2 	2007S1 	2006S2 	2006S1 	2005S2 	2005S1 	2004S2 	2004S1 	2003S2 	2003S1 	2002S2 	2002S1 	2001S2 	2001S1 	2000S2 	2000S1 	1999S2 	1999S1 
EUR,AL	242.52 	209.10 	213.45 	211.99 	210.66 	190.58 	180.52 	181.01 	162.69 	160.20 	160.26 	156.82 	156.99 	156.85 	156.92 	156.07 	150.44 	151.99 	143.96 	141.43 	136.92 	139.25 	130.47 	137.66 	137.32 	139.29 	131.38 	114.91 	113.04 	113.57 	96.26 	95.22 	85.48 	87.76 	74.90 	74.40 	67.06 	67.75 	62.78 	60.13 	52.80 	52.36 	46.98 	45.12 	: 
EUR,AT	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
EUR,BE	1625.72 	1625.72 	1593.81 	1593.81 	1593.81 	1562.59 	1562.59 	1562.59 	1531.93 	1531.93 	1501.82 	1501.82 	1501.82 	1501.82 	1501.82 	1501.82 	1501.82 	1472.42 	1443.54 	1443.54 	1415.24 	1387.50 	1387.50 	1387.50 	1387.50 	1335.80 	1309.60 	1283.00 	1259.00 	1234.00 	1234.00 	1210.00 	1210.00 	1186.31 	1186.31 	1186.31 	1163.02 	1163.02 	1140.24 	1140.24 	1117.88 	1095.89 	1095.89 	1095.89 	1074.44 
EUR,BG	332.34 	311.89 	311.89 	286.33 	286.33 	260.76 	260.76 	235.20 	235.20 	214.75 	214.75 	194.29 	184.07 	173.84 	173.84 	158.50 	158.50 	148.28 	138.05 	122.71 	122.71 	122.71 	122.71 	122.71 	122.71 	112.49 	112.49 	92.03 	92.03 	81.81 	81.79 	76.69 	76.69 	61.35 	61.36 	56.52 	56.28 	51.24 	51.38 	43.65 	40.42 	38.35 	34.26 	34.26 	31.19 
EUR,CH	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
EUR,CY	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
EUR,CZ	579.22 	546.00 	574.62 	524.62 	518.97 	468.87 	477.78 	419.90 	407.09 	364.90 	366.35 	337.58 	331.71 	309.62 	309.91 	308.30 	318.08 	312.01 	310.23 	328.61 	319.22 	311.39 	302.19 	309.10 	297.67 	334.83 	300.44 	278.57 	291.07 	279.19 	261.03 	239.26 	235.85 	210.99 	206.73 	196.38 	196.35 	194.76 	178.34 	148.02 	142.67 	126.33 	110.79 	98.85 	92.35 
EUR,DE	1614.00 	1584.00 	1584.00 	1557.00 	1557.00 	1498.00 	1498.00 	1498.00 	1498.00 	1440.00 	1440.00 	1440.00 	1440.00 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
EUR,DK	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
EUR,EE	584.00 	584.00 	584.00 	540.00 	540.00 	500.00 	500.00 	470.00 	470.00 	430.00 	430.00 	390.00 	390.00 	355.00 	355.00 	320.00 	320.00 	290.00 	290.00 	278.02 	278.02 	278.02 	278.02 	278.02 	278.02 	278.02 	278.02 	230.08 	230.08 	191.73 	191.73 	171.92 	171.92 	158.50 	158.50 	138.05 	138.05 	118.24 	118.24 	102.26 	102.26 	89.48 	89.48 	79.89 	79.89 
EUR,EL	758.33 	758.33 	758.33 	758.33 	683.76 	683.76 	683.76 	683.76 	683.76 	683.76 	683.76 	683.76 	683.76 	683.76 	683.76 	683.76 	683.76 	683.76 	876.62 	876.62 	862.82 	862.82 	862.82 	862.82 	817.83 	794.02 	794.02 	767.55 	730.30 	709.71 	709.71 	667.68 	667.68 	630.77 	630.77 	606.52 	606.52 	582.00 	571.71 	551.70 	543.55 	533.93 	526.05 	512.13 	505.06 
EUR,ES	1108.33 	1108.33 	1108.33 	1050.00 	1050.00 	858.55 	858.55 	825.65 	825.65 	764.40 	764.40 	756.70 	756.70 	752.85 	752.85 	752.85 	752.85 	748.30 	748.30 	748.30 	748.30 	738.85 	738.85 	728.00 	728.00 	700.00 	700.00 	665.70 	665.70 	631.05 	631.05 	598.50 	598.50 	572.60 	537.25 	526.40 	526.40 	515.90 	515.90 	505.69 	505.69 	495.60 	495.60 	485.71 	485.71 
EUR,FI	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
