"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2011","European Union - 27 countries (from 2020)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.840",""
"2011","European Union - 27 countries (from 2020)","Current prices, million euro","Gross domestic product at market prices","11 321 811.2",""
"2011","European Union - 27 countries (from 2020)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11 179 267.4",""
"2011","European Union - 28 countries (2013-2020)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.758",""
"2011","European Union - 28 countries (2013-2020)","Current prices, million euro","Gross domestic product at market prices","13 234 680.5",""
"2011","European Union - 28 countries (2013-2020)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","13 075 326.3",""
"2011","European Union - 15 countries (1995-2004)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.643",""
"2011","European Union - 15 countries (1995-2004)","Current prices, million euro","Gross domestic product at market prices","12 166 015.0",""
"2011","European Union - 15 countries (1995-2004)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12 023 908.7",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.674",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, million euro","Gross domestic product at market prices","9 744 341.1",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9 643 875.5",""
"2011","Euro area - 19 countries  (from 2015)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.696",""
"2011","Euro area - 19 countries  (from 2015)","Current prices, million euro","Gross domestic product at market prices","9 795 968.7",""
"2011","Euro area - 19 countries  (from 2015)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9 692 631.2",""
"2011","Euro area - 12 countries (2001-2006)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.663",""
"2011","Euro area - 12 countries (2001-2006)","Current prices, million euro","Gross domestic product at market prices","9 592 421.2",""
"2011","Euro area - 12 countries (2001-2006)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9 494 765.8",""
"2011","Belgium","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.695",""
"2011","Belgium","Current prices, million euro","Gross domestic product at market prices","375 967.8",""
"2011","Belgium","Chain linked volumes (2010), million euro","Gross domestic product at market prices","369 293.6",""
"2011","Bulgaria","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.355",""
"2011","Bulgaria","Current prices, million euro","Gross domestic product at market prices","41 268.9",""
"2011","Bulgaria","Chain linked volumes (2010), million euro","Gross domestic product at market prices","38 954.2",""
"2011","Czechia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.760",""
"2011","Czechia","Current prices, million euro","Gross domestic product at market prices","165 202.2",""
"2011","Czechia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","160 700.8",""
"2011","Denmark","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.337",""
"2011","Denmark","Current prices, million euro","Gross domestic product at market prices","247 879.9",""
"2011","Denmark","Chain linked volumes (2010), million euro","Gross domestic product at market prices","246 416.0",""
"2011","Germany (until 1990 former territory of the FRG)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","103.925",""
"2011","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Gross domestic product at market prices","2 693 560.0",""
"2011","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","2 665 057.6",""
"2011","Estonia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","107.427",""
"2011","Estonia","Current prices, million euro","Gross domestic product at market prices","16 829.2",""
"2011","Estonia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","15 966.9",""
"2011","Ireland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.601",""
"2011","Ireland","Current prices, million euro","Gross domestic product at market prices","170 950.9",""
"2011","Ireland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","168 681.6",""
"2011","Greece","Chain linked volumes, index 2010=100","Gross domestic product at market prices","89.851",""
"2011","Greece","Current prices, million euro","Gross domestic product at market prices","203 308.2",""
"2011","Greece","Chain linked volumes (2010), million euro","Gross domestic product at market prices","201 377.0",""
"2011","Spain","Chain linked volumes, index 2010=100","Gross domestic product at market prices","99.186",""
"2011","Spain","Current prices, million euro","Gross domestic product at market prices","1 063 763.0",""
"2011","Spain","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1 063 973.1",""
"2011","France","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.193",""
"2011","France","Current prices, million euro","Gross domestic product at market prices","2 058 369.0",""
"2011","France","Chain linked volumes (2010), million euro","Gross domestic product at market prices","2 039 039.7",""
"2011","Croatia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","99.802",""
"2011","Croatia","Current prices, million euro","Gross domestic product at market prices","44 924.6",""
"2011","Croatia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","45 105.4",""
"2011","Italy","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.707",""
"2011","Italy","Current prices, million euro","Gross domestic product at market prices","1 648 755.8",""
"2011","Italy","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1 622 676.5",""
"2011","Cyprus","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.401",""
"2011","Cyprus","Current prices, million euro","Gross domestic product at market prices","19 803.0",""
"2011","Cyprus","Chain linked volumes (2010), million euro","Gross domestic product at market prices","19 487.9",""
"2011","Latvia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","106.469",""
"2011","Latvia","Current prices, million euro","Gross domestic product at market prices","20 310.5",""
"2011","Latvia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","19 029.0",""
"2011","Lithuania","Chain linked volumes, index 2010=100","Gross domestic product at market prices","106.039",""
"2011","Lithuania","Current prices, million euro","Gross domestic product at market prices","31 317.2",""
"2011","Lithuania","Chain linked volumes (2010), million euro","Gross domestic product at market prices","29 726.8",""
"2011","Luxembourg","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.539",""
"2011","Luxembourg","Current prices, million euro","Gross domestic product at market prices","43 164.6",""
"2011","Luxembourg","Chain linked volumes (2010), million euro","Gross domestic product at market prices","41 198.0",""
"2011","Hungary","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.937",""
"2011","Hungary","Current prices, million euro","Gross domestic product at market prices","102 020.6",""
"2011","Hungary","Chain linked volumes (2010), million euro","Gross domestic product at market prices","101 505.2",""
"2011","Malta","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.467",""
"2011","Malta","Current prices, million euro","Gross domestic product at market prices","6 924.6",""
"2011","Malta","Chain linked volumes (2010), million euro","Gross domestic product at market prices","6 847.6",""
"2011","Netherlands","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.551",""
"2011","Netherlands","Current prices, million euro","Gross domestic product at market prices","650 359.0",""
"2011","Netherlands","Chain linked volumes (2010), million euro","Gross domestic product at market prices","649 102.0",""
"2011","Austria","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.923",""
"2011","Austria","Current prices, million euro","Gross domestic product at market prices","310 128.7",""
"2011","Austria","Chain linked volumes (2010), million euro","Gross domestic product at market prices","304 545.1",""
"2011","Poland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","104.758",""
"2011","Poland","Current prices, million euro","Gross domestic product at market prices","379 860.0",""
"2011","Poland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","379 422.6",""
"2011","Portugal","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.304",""
"2011","Portugal","Current prices, million euro","Gross domestic product at market prices","176 096.2",""
"2011","Portugal","Chain linked volumes (2010), million euro","Gross domestic product at market prices","176 564.3",""
"2011","Romania","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.906",""
"2011","Romania","Current prices, million euro","Gross domestic product at market prices","131 841.6",""
"2011","Romania","Chain linked volumes (2010), million euro","Gross domestic product at market prices","127 863.9",""
"2011","Slovenia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.861",""
"2011","Slovenia","Current prices, million euro","Gross domestic product at market prices","37 058.6",""
"2011","Slovenia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","36 677.1",""
"2011","Slovakia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.847",""
"2011","Slovakia","Current prices, million euro","Gross domestic product at market prices","71 304.5",""
"2011","Slovakia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","70 130.1",""
"2011","Finland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.548",""
"2011","Finland","Current prices, million euro","Gross domestic product at market prices","197 998.0",""
"2011","Finland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","192 936.3",""
"2011","Sweden","Chain linked volumes, index 2010=100","Gross domestic product at market prices","103.195",""
"2011","Sweden","Current prices, million euro","Gross domestic product at market prices","412 844.7",""
"2011","Sweden","Chain linked volumes (2010), million euro","Gross domestic product at market prices","386 668.0",""
"2011","Iceland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.846",""
"2011","Iceland","Current prices, million euro","Gross domestic product at market prices","10 934.3",""
"2011","Iceland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","10 575.0",""
"2011","Liechtenstein","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"2011","Liechtenstein","Current prices, million euro","Gross domestic product at market prices",":",""
"2011","Liechtenstein","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"2011","Norway","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.981",""
